date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:26	73116/73116	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jun%202026%2011:54:00%20GMT	https://adminlte.io/themes/v4/index.html	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/themes/v4/index.html	(from )
15:34:31	122/122	---MCZ	200	added ('OK')	text/plain	date:Tue,%2009%20Jun%202026%2010:32:36%20GMT	https://adminlte.io/robots.txt		(from )
15:34:32	409929/409929	---MCZ	200	added ('OK')	text/css	etag:W/%226a22b8d8-64149%22	https://adminlte.io/themes/v4/css/adminlte.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/themes/v4/css/adminlte.css	(from https://adminlte.io/themes/v4/index.html)
15:34:32	2770/2770	---M-Z	200	added ('OK')	text/css	etag:W/%22ad2-dPui/DdP92UDBG6Mc5kDY4XlTpk%22	https://cdn.jsdelivr.net/npm/@fontsource/source-sans-3@5.0.12/index.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/cdn.jsdelivr.net/npm/@fontsource/source-sans-3@5.0.12/index.css	(from https://adminlte.io/themes/v4/index.html)
15:34:32	13202/13202	---M-Z	200	added ('OK')	text/css	etag:W/%223392-w4F3sJPTRi/jcpjXUZdij9SL3Kw%22	https://cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/styles/overlayscrollbars.min.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/styles/overlayscrollbars.min.css	(from https://adminlte.io/themes/v4/index.html)
15:34:33	87008/87008	---M-Z	200	added ('OK')	text/css	etag:W/%22153e0-rp/p6DPa9owjeUXpre5bfzVHjRk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	(from https://adminlte.io/themes/v4/index.html)
15:34:34	14703/14703	---M-Z	200	added ('OK')	text/css	etag:W/%22396f-22VTn+d9E9kMYduQg71nvxVEFSA%22	https://cdn.jsdelivr.net/npm/apexcharts@3.37.1/dist/apexcharts.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/cdn.jsdelivr.net/npm/apexcharts@3.37.1/dist/apexcharts.css	(from https://adminlte.io/themes/v4/index.html)
15:34:34	2144/2144	---M-Z	200	added ('OK')	text/css	etag:W/%22860-DRX0a5A/RsAmscOz4QD8IDifUv0%22	https://cdn.jsdelivr.net/npm/jsvectormap@1.5.3/dist/css/jsvectormap.min.css	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/cdn.jsdelivr.net/npm/jsvectormap@1.5.3/dist/css/jsvectormap.min.css	(from https://adminlte.io/themes/v4/index.html)
15:34:34	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2009%20Jun%202026%2010:32:39%20GMT	https://adminlte.io/cdn-cgi/zaraz/s.js?z=	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/cdn-cgi/zaraz/sd0d9.js	(from https://adminlte.io/themes/v4/index.html)
15:34:35	51109/51109	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jun%202026%2011:54:00%20GMT	https://adminlte.io/themes/v4/docs/introduction.html	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/themes/v4/docs/introduction.html	(from https://adminlte.io/themes/v4/index.html)
15:34:35	2718/2718	---M--	200	added ('OK')	image/jpeg	etag:%226a22b8d8-abe%22	https://adminlte.io/themes/v4/assets/img/user1-128x128.jpg	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/themes/v4/assets/img/user1-128x128.jpg	(from https://adminlte.io/themes/v4/index.html)
15:34:35	4939/4939	---M--	200	added ('OK')	image/jpeg	etag:%226a22b8d8-1377%22	https://adminlte.io/themes/v4/assets/img/user8-128x128.jpg	C:/Users/Laptronics.co/Downloads/Gym%20Dashboard/adminlte.io/themes/v4/assets/img/user8-128x128.jpg	(from https://adminlte.io/themes/v4/index.html)
